Tag,Average Length - Primary roots,Average Length - Lateral roots,Lateral Root Count,Total Length,
"Nadapt_16:3",266.59,28.08,4,378.9,
"Nadapt_16:4",267.84,61.66,4,514.49,
"Nadapt_16:5",305.6,48.73,6,597.99,
"Nadapt_16:6",296.37,25.67,3,373.38,
"Nadapt_16:7",319.63,46.31,6,597.51,
"Nadapt_16:8",309.52,65.18,7,765.75,
"Nadapt_8:1",358.77,57.95,8,822.35,
"Nadapt_8:2",339.59,55.01,6,669.65,
"Nadapt_8:3",367.39,51.59,7,728.51,
"Nadapt_8:4",338.22,94.29,3,621.08,
"Nadapt_8:5",275.4,60.82,4,518.7,
"Nadapt_8:6",289.84,102.43,1,392.26,
"Nadapt_8:7",326.95,42.14,5,537.66,
"Nadapt_8:8",299.27,55.26,4,520.33,
"Nadapt_12:1",456.07,36.7,9,786.39,
"Nadapt_12:2",422.91,15.98,6,518.8,
"Nadapt_12:3",477.81,69.77,2,617.36,
"Nadapt_12:4",496.6,56.9,6,837.99,
"Nadapt_12:5",540.88,63.13,6,919.65,
"Nadapt_12:6",476.27,35.82,4,619.55,
"Nadapt_12:7",577.23,43.57,8,925.78,
"Nadapt_12:8",506.47,35.88,8,793.53,
"Nadapt_17:1",6.26,0,0,6.26,
"Nadapt_17:2",442.48,41.06,5,647.78,
"Nadapt_17:3",3,0,0,3,
"Nadapt_17:4",2.83,0,0,2.83,
"Nadapt_17:5",533.04,61.11,9,1083.04,
"Nadapt_17:6",1,0,0,1,
"Nadapt_17:7",486.9,24.92,5,611.5,
"Nadapt_17:8",2.42,0,0,2.42,
"Nadapt_9:1",280.14,35.34,8,562.85,
"Nadapt_9:2",233.42,25.21,3,309.03,
"Nadapt_9:3",275.38,15.15,1,290.53,
"Nadapt_9:4",303.37,39.48,2,382.32,
"Nadapt_9:5",3,0,0,3,
"Nadapt_9:6",218.62,38.83,4,373.95,
"Nadapt_9:7",174.99,26.24,1,201.22,
"Nadapt_9:8",4.24,0,0,4.24,
"Nadapt_7:1",240.73,43.8,5,459.72,
"Nadapt_7:2",240.3,0,0,240.3,
"Nadapt_7:3",297.38,75.16,3,522.87,
"Nadapt_7:4",296.06,53.04,6,614.29,
"Nadapt_7:5",398.18,52.72,8,819.93,
"Nadapt_7:6",450.51,52.54,8,870.83,
"Nadapt_7:7",325.88,64.02,5,646,
"Nadapt_7:8",331.38,38.47,4,485.27,
"Nadapt_1:1",330.59,43.24,4,503.56,
"Nadapt_1:2",326.69,46.57,6,606.11,
"Nadapt_1:3",325.46,66.9,7,793.75,
"Nadapt_1:4",2,0,0,2,
"Nadapt_1:5",414.02,64.82,8,932.56,
"Nadapt_1:6",416.05,64.97,6,805.89,
"Nadapt_1:7",356.73,63.64,1,420.36,
"Nadapt_1:8",368.65,56.62,6,708.4,
"Nadapt_19:1",450.37,86.2,7,1053.77,
"Nadapt_19:2",4.24,0,0,4.24,
"Nadapt_19:3",473.17,55.64,7,862.66,
"Nadapt_19:4",511.09,46,5,741.09,
"Nadapt_19:5",503.91,59.15,8,977.07,
"Nadapt_19:6",489.91,55.29,7,876.94,
"Nadapt_19:7",508.38,58.06,6,856.74,
"Nadapt_19:8",4.47,0,0,4.47,
"Nadapt_23:1",278.4,51.74,4,485.36,
"Nadapt_23:2",313.5,61.24,5,619.68,
"Nadapt_23:3",336.26,29.25,2,394.76,
"Nadapt_23:4",313.17,57.85,6,660.28,
"Nadapt_23:5",317.39,55.1,7,703.11,
"Nadapt_23:6",317.83,79.17,5,713.66,
"Nadapt_23:7",243.89,33.08,2,310.04,
"Nadapt_23:8",240.51,21.93,1,262.44,
